"user_id","review_count.x","name.x","fans","average_stars","business_id","stars","date","latitude","longitude","label","name.y","review_count.y","countRbyU"
"v-HC4gG-An3vYNPssCHGjQ",12,"Jill",1,4.11,"6LM_Klmp3hOP0JmsMCKRqQ",3,2009-11-09,36.09545,-115.1753,2,"Luxor Hotel And Casino Las Vegas",2934,4
"v-HC4gG-An3vYNPssCHGjQ",12,"Jill",1,4.11,"TWD8c5-P7w9v-2KX_GSNZQ",5,2009-11-09,36.09229,-115.1744,2,"Mandalay Bay Resort & Casino",2116,4
"v-HC4gG-An3vYNPssCHGjQ",12,"Jill",1,4.11,"HMr_KN63f6MzM9h8Wije3Q",4,2009-11-09,36.10206,-115.1744,2,"New York New York Hotel Casino",1491,4
"v-HC4gG-An3vYNPssCHGjQ",12,"Jill",1,4.11,"DUdBbrvqfaqUe9GYKmYNtA",4,2009-11-09,36.12116,-115.1736,2,"The Mirage",1626,4
"dFxL7jucxiyijo1i4mhtFg",20,"Ray",0,4.05,"vSf0pqvaLp5sVSjJPeOqqQ",4,2014-10-13,36.10832,-115.1741,2,"Todd English P.U.B.",1233,4
"dFxL7jucxiyijo1i4mhtFg",20,"Ray",0,4.05,"M2SjLXsuAy5RNKwxaA5E1g",5,2014-10-13,36.09287,-115.1759,2,"House of Blues",696,4
"dFxL7jucxiyijo1i4mhtFg",20,"Ray",0,4.05,"tbTc7094zwIYAtU-0NkU4w",4,2014-10-13,36.11444,-115.1953,2,"Palms Casino Resort",996,4
"dFxL7jucxiyijo1i4mhtFg",20,"Ray",0,4.05,"z3SyT8blMIhsZNvKJgKcRA",4,2014-10-13,36.11677,-115.1746,2,"Caesars Palace Las Vegas Hotel & Casino",1952,4
"2wB0DcH96RBcytyeDncRVg",9,"Elizabeth",0,5,"_WHc6Iwi40s2gcvkotEoOQ",5,2016-07-06,33.55126,-112.1522,1,"Submarinos Pizzeria",40,4
"2wB0DcH96RBcytyeDncRVg",9,"Elizabeth",0,5,"C9JmR3jZfGnW6xbPMCT3aQ",5,2016-06-24,33.53864,-112.0983,1,"Restaurants Atoyac Estilo Oaxaca",66,4
"2wB0DcH96RBcytyeDncRVg",9,"Elizabeth",0,5,"IiQvDbga80HlrY5axVg-ag",5,2015-12-03,33.56751,-112.0742,1,"Popeye's Louisiana Kitchen",21,4
"2wB0DcH96RBcytyeDncRVg",9,"Elizabeth",0,5,"QL65KeevBrd3ZfrPzP4Ybg",5,2016-04-09,33.55335,-112.1709,1,"The Glass House",39,4
"DGVoMK_7f831sj3S-ks2ig",18,"Alex",0,3.83,"g2VN-L5UPk5haGVeSe1LEg",1,2013-09-11,33.44108,-112.0258,1,"Payless Car Rental",226,1
"iEvVQ0STczKHk-9-Hi6E1g",9,"Willie",0,3.62,"Md17Slk2KssLdff7yLi6cg",3,2016-05-15,36.16933,-115.1409,2,"Las Vegas Country Saloon",39,3
"iEvVQ0STczKHk-9-Hi6E1g",9,"Willie",0,3.62,"XGBK1_iyfPC2_0nmAo12WQ",5,2016-05-15,36.16571,-115.1345,2,"Bunkhouse Saloon",82,3
"iEvVQ0STczKHk-9-Hi6E1g",9,"Willie",0,3.62,"adv1-kA6k2N4L-e4zULuNg",5,2016-05-15,36.16918,-115.1419,2,"Fremont Street Experience",1075,3
"HOuPhii4QSc3_gSaUAyldw",1,"Dillon",0,1,"dWVc-Pes8olLaUIM1NC14w",1,2014-11-01,33.63914,-112.2296,1,"Raising Cane's Chicken Fingers",68,1
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"AX8x7z1B5jYaEg9g9LaC3g",4,2011-10-19,36.02248,-115.0502,2,"Prestige Dental",60,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"SAU9NDWNuR0Jvgx38T8wsA",5,2015-02-14,36.02805,-115.0488,2,"Gimme Some Sugar",235,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"tZCIC-GWGYS7yh3KVbRnlw",5,2015-06-28,35.99726,-115.1012,2,"Bratalian Neapolitan Cantina",151,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"2lt03ZLGvgPApOKS7eKGOQ",5,2015-09-21,36.03509,-115.1358,2,"Grouchy John's Coffee Shop",697,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"dfOFgjhuEp5GdHJhVzjOAA",5,2015-08-31,36.12532,-115.2183,2,"Star Foot Spa",240,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"i5Tq_jzm3osbY_uEJ79N1g",5,2015-06-08,36.05532,-115.0472,2,"Tokyo Boys",250,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"oMe9AQydEtcwqox2cS35KA",5,2015-01-02,36.02021,-115.05,2,"Don Tortaco Mexican Grill",33,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"oBsGCw2LGvw_9BpSZHgYyA",5,2014-09-16,35.99761,-115.1252,2,"Jm Hair Gallery",67,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"7NLFWaVfN2oLzzxttPb8BA",5,2014-12-29,36.01935,-115.0521,2,"Firestone Complete Auto Care",45,10
"FcMNOHkZOQmxxUFd7wD47A",12,"KC",0,4.92,"YrXy5hLurFB_HNDH6xITSg",5,2014-11-19,35.99726,-115.1012,2,"Tucker's Tennis",4,10
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"qDekodPPD6hvaxqqWasudA",1,2015-10-23,33.38374,-111.7432,1,"Fat Willy's",66,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"U6Y7zJftXj35lwJvf5PW4Q",3,2015-12-14,33.37912,-111.7412,1,"QC Reflexology",68,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"WLYQsFAczUkc845k0ec-1A",2,2015-07-19,33.45087,-111.7726,1,"Pizza Hut",7,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"zTGDFrfWnlvi151Pzq5EwQ",2,2015-07-22,33.4152,-111.772,1,"KFC",7,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"0AhjuzGzuViuGxf-MrBvoA",5,2015-07-21,33.42368,-111.7338,1,"Chase Nails",11,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"oHAaNWWZHAi95bCND1O_hQ",1,2015-07-26,33.3935,-111.8541,1,"Stufrageous Stuffed Burgers",310,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"oHAaNWWZHAi95bCND1O_hQ",1,2015-12-25,33.3935,-111.8541,1,"Stufrageous Stuffed Burgers",310,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"cHbvVcwhv62QYJTlz0t-Zg",4,2015-07-19,33.45148,-111.8291,1,"Cindy's Arizona Cafe",61,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"cHbvVcwhv62QYJTlz0t-Zg",4,2015-07-26,33.45148,-111.8291,1,"Cindy's Arizona Cafe",61,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"jof3h5hJhj2A7ZdCFPoY3Q",5,2016-07-19,33.41616,-111.7401,1,"Sassy's Cafe & Bakery",37,12
"VZGMnES-0iFaMYpmrElmoQ",23,"Sandra",0,2.8,"puy0PzIcCgR3KWJI7llBFQ",3,2015-12-14,33.3019,-111.7431,1,"Logan's Roadhouse",125,12
